t-SNE_1,t-SNE_2,True_Class
-22.705055,-2.473783,Normal
-26.896362,1.8921988,Normal
-28.86506,-0.6679154,Normal
-23.48287,-1.4434755,Normal
-24.630098,2.99206,Normal
-26.158895,1.7118607,Normal
-8.925138,0.59257066,Normal
-21.808245,3.4807682,Normal
-26.543133,-1.9151855,Normal
-27.5288,-2.0398736,Normal
-24.515167,6.19509,Normal
-31.189714,-0.38819683,Normal
-28.628637,3.5854602,Normal
-28.524609,-1.2173377,Normal
-27.23163,-1.3085601,Normal
-30.479496,-3.211961,Normal
-23.097322,4.1156926,Normal
-23.46711,1.2432477,Normal
-28.870506,1.4452331,Normal
-23.905031,-5.130867,Normal
-31.269678,0.71144533,Normal
-20.016184,3.1091154,Normal
-29.062933,-3.3135693,Normal
-19.9148,5.9263906,Normal
-22.20902,-1.1694137,Normal
-28.470264,-4.7891436,Normal
-30.615433,-1.448232,Normal
2.3494654,-7.0988045,Normal
-20.544,-6.764383,Normal
-3.1132398,0.65927076,Normal
-30.243818,-0.93086326,Normal
-25.81458,-0.48937607,Normal
-26.464502,-4.1781683,Normal
-27.299063,0.52444863,Normal
-29.180386,0.6325935,Normal
-27.875698,-1.6986877,Normal
-23.38258,1.1438099,Normal
-27.806238,-3.4622846,Normal
-18.869795,3.440726,Normal
-28.283882,-2.519814,Normal
-25.389393,3.0908315,Normal
-27.82045,-5.881503,Normal
-19.492332,-2.571406,Normal
-26.409636,0.06148434,Normal
-31.71837,-2.1624613,Normal
-24.853539,1.6327606,Normal
-22.763296,2.070233,Normal
-26.246944,3.5780628,Normal
-23.124702,6.538012,Normal
-27.267569,-0.26855314,Normal
-21.930998,-5.4328327,Normal
-28.787388,1.7979938,Normal
-23.759636,3.585058,Normal
-25.17205,-2.8531263,Normal
-25.792181,0.7458443,Normal
4.3379683,-9.557972,Normal
-29.946447,-2.9189782,Normal
-30.031244,-3.2480187,Normal
-23.553873,-5.8929014,Normal
-23.940653,-7.168546,Normal
-8.685753,0.76161575,Normal
-3.331475,2.1414626,Normal
-25.271729,-0.14280604,Normal
-25.850126,2.285834,Normal
-29.32726,-1.8523552,Normal
-25.141438,-2.6695063,Normal
-26.313328,4.437817,Normal
-24.217848,-4.384897,Normal
-24.194017,-1.2973295,Normal
-26.903017,-3.3612833,Normal
-30.364109,1.153561,Normal
-22.776165,-2.5915256,Normal
-23.809662,-0.61154646,Normal
-30.276031,-0.47390372,Normal
-13.658749,0.87323576,Scar
-15.9996605,-9.783603,Scar
-12.634057,-0.3372399,Scar
-13.8781185,-4.482205,Scar
-21.06092,-4.923906,Scar
-18.805326,0.8500648,Scar
-17.248909,-1.9215758,Scar
-11.162321,-8.663971,Scar
-8.757618,-8.632763,Scar
-20.255028,-4.6931148,Scar
-16.715418,1.1048429,Scar
-14.718479,-4.6867156,Scar
-14.602994,1.6619607,Scar
-19.714169,-6.758162,Scar
-21.179407,-0.22161987,Scar
-14.002513,-8.006398,Scar
-11.840608,4.022711,Scar
-15.66093,-4.0369754,Scar
-16.864656,4.055321,Scar
-26.266628,-4.6824985,Scar
-13.207322,-2.252164,Scar
-5.913551,3.3917208,Scar
-13.533995,-1.9848228,Scar
-13.598274,2.1505108,Scar
-13.985971,-4.292909,Scar
-17.769855,2.468054,Scar
-16.427645,-0.142629,Scar
-14.713398,0.14036463,Scar
-9.415401,2.779494,Scar
-16.574863,-7.665073,Scar
-17.623934,-1.9957619,Scar
-13.312965,-1.6622033,Scar
-16.280197,0.13556525,Scar
-15.437933,-2.4676826,Scar
-14.528111,-8.302533,Scar
-15.636873,1.8150455,Scar
-21.271416,1.3108516,Scar
-27.393576,2.6400328,Scar
-18.127848,1.028592,Scar
-19.457558,-1.4462788,Scar
-15.678803,-2.4462996,Scar
-20.957,-8.56023,Scar
-19.082138,0.2966837,Scar
-15.9853,-9.238252,Scar
-17.793503,-0.020305172,Scar
-19.071585,1.7218503,Scar
-1.6322241,3.4436598,Scar
-17.007906,-4.7979755,Scar
-8.744449,-0.42746022,Scar
-22.131258,0.049565412,Scar
-14.98479,-3.3758101,Scar
-6.391628,2.6615217,Scar
-12.202409,3.823768,Scar
-11.637916,-8.6274805,Scar
-11.461565,-6.36182,Scar
-14.267637,-3.2438736,Scar
-5.9569583,3.3952568,Scar
-15.038649,-1.4367204,Scar
