t-SNE_1,t-SNE_2,True_Class
-24.388985,-1.3334018,Normal
-19.989244,-2.9806,Normal
-25.527712,2.0459723,Normal
-27.271063,1.9251226,Normal
-22.071997,-1.1616478,Normal
-25.347868,0.8805279,Normal
-21.573776,1.9144056,Normal
-22.937798,3.724346,Normal
-23.037222,1.6632997,Normal
-23.567106,0.3426912,Normal
-21.72427,-0.14809707,Normal
-23.317463,-1.3421079,Normal
-20.415297,0.98277533,Normal
-23.55629,1.4099028,Normal
-24.729164,1.8182825,Normal
-24.821583,0.6961136,Normal
-26.444536,2.0578663,Normal
-22.30639,1.3682374,Normal
-27.147884,-1.4565588,Normal
-24.339415,1.5063258,Normal
-25.353027,1.0116885,Normal
-20.539495,-0.9385054,Normal
-26.900326,0.14886157,Normal
-22.748941,2.4863427,Normal
-26.606516,1.3718677,Normal
-22.164772,-1.9812809,Normal
-22.676989,-2.819641,Normal
-4.3917923,23.457067,Normal
-24.083595,-0.32538044,Normal
-20.98144,2.2191596,Normal
-23.40927,1.0429837,Normal
-23.345814,-0.3800681,Normal
-19.692348,-0.2041655,Normal
-22.635046,1.0589392,Normal
-24.007423,1.1150695,Normal
-25.727617,-0.5711359,Normal
-20.80302,0.39664894,Normal
-21.999174,-1.20884,Normal
-19.154087,-2.4658134,Normal
-23.333178,0.16606236,Normal
-26.079659,1.2926189,Normal
-23.703773,-3.6194558,Normal
-19.33251,-0.6038349,Normal
-21.168043,0.1511163,Normal
-26.339014,-0.8054783,Normal
-27.781399,-0.42564976,Normal
-25.30207,-1.4607428,Normal
-26.03966,-2.060608,Normal
-24.197027,3.6155455,Normal
-24.552376,0.5178003,Normal
-23.52694,2.194238,Normal
-19.606962,-3.9141324,Normal
-19.282204,-0.46011275,Normal
-24.1084,2.4735231,Normal
-24.8646,2.8016605,Normal
-19.57246,1.0044167,Normal
-25.841644,0.034896366,Normal
-26.229889,3.102175,Normal
-22.726679,0.09825943,Normal
-19.187176,-2.7916129,Normal
-21.037386,3.400387,Normal
-19.69877,2.272651,Normal
-23.411629,-2.0429304,Normal
-24.571722,-1.0357234,Normal
-26.803707,0.5088863,Normal
-28.022015,1.5468864,Normal
-23.289177,0.551779,Normal
-25.152111,0.065325394,Normal
-23.83089,-2.5541565,Normal
-24.681334,2.6632135,Normal
-19.21467,-4.5256186,Normal
-24.642418,-1.6129277,Normal
-27.79179,1.6971148,Normal
-25.757246,3.3891325,Normal
-10.38576,-19.019678,Scar
-10.947655,-17.843536,Scar
-12.569612,-19.480001,Scar
-10.673471,-21.761984,Scar
-12.110747,-19.005907,Scar
-12.384106,-21.473818,Scar
-11.231185,-20.722042,Scar
-10.564715,-21.75943,Scar
-11.827452,-22.195457,Scar
-11.8091135,-20.94784,Scar
-12.386171,-21.180439,Scar
-11.306322,-21.991741,Scar
-12.154192,-20.40796,Scar
-11.318927,-21.800808,Scar
-10.467701,-20.586342,Scar
-10.942873,-19.210072,Scar
-12.816903,-20.18073,Scar
-10.945449,-21.351606,Scar
-11.5174465,-20.653727,Scar
-10.670339,-22.511532,Scar
-11.608795,-19.680477,Scar
-11.072698,-19.175737,Scar
-11.7499895,-20.025383,Scar
-13.068694,-19.857298,Scar
-10.218754,-21.298569,Scar
-6.2369742,-16.789328,Scar
-6.478114,-22.113455,Scar
-6.2352157,-17.561483,Scar
-8.31577,-16.403227,Scar
-11.216815,-14.942113,Scar
-9.700041,-24.248816,Scar
-7.2566056,-16.693588,Scar
-8.31082,-23.215994,Scar
-7.4573193,-16.688372,Scar
-13.576401,-13.243012,Scar
-12.29379,-15.769128,Scar
-12.111483,-16.980406,Scar
-12.586132,-14.737249,Scar
-11.195806,-15.062925,Scar
-9.450467,-23.745527,Scar
-13.326267,-17.810648,Scar
-13.695663,-14.238222,Scar
-13.592972,-17.51693,Scar
-13.126991,-13.067991,Scar
-7.5641294,-17.85196,Scar
-12.07377,-15.151651,Scar
-12.245545,-14.508744,Scar
-13.657601,-16.057705,Scar
-26.020914,-3.281706,Scar
-12.512959,-17.336395,Scar
-7.1781235,-20.013403,Scar
-8.587327,-22.112156,Scar
-9.415727,-17.957735,Scar
-6.5295944,-19.875956,Scar
-7.565892,-20.410698,Scar
-9.681233,-20.277727,Scar
-9.226576,-17.715374,Scar
-7.9288335,-20.197657,Scar
-7.384482,-19.274311,Scar
-9.521376,-19.13944,Scar
-9.071543,-19.959324,Scar
-8.060738,-19.28223,Scar
-8.606505,-18.498524,Scar
-8.234238,-20.515146,Scar
-9.807071,-19.987186,Scar
-6.565665,-21.142694,Scar
-9.602333,-21.722853,Scar
-8.677871,-19.425064,Scar
-8.634595,-21.228153,Scar
-8.178886,-21.803385,Scar
-9.145722,-22.192196,Scar
-7.596154,-21.198616,Scar
-8.8955345,-18.64145,Scar
-6.6518927,-21.250095,Scar
-8.732156,-20.639317,Scar
1.945261,17.001049,Inflamed
1.9591558,17.010214,Inflamed
0.42436662,23.29355,Inflamed
-1.0270363,20.480505,Inflamed
-2.2956352,18.557463,Inflamed
3.3249552,19.350143,Inflamed
-0.41621017,21.72083,Inflamed
-1.7230498,21.239933,Inflamed
-2.3043787,19.305065,Inflamed
0.029499829,24.119837,Inflamed
-1.8444359,20.497263,Inflamed
-0.81339955,21.939056,Inflamed
-0.3279865,24.108597,Inflamed
-0.64973056,21.615957,Inflamed
-0.5186017,22.798378,Inflamed
-1.26289,24.419413,Inflamed
0.3814971,22.402773,Inflamed
-1.943277,19.605827,Inflamed
