t-SNE_1,t-SNE_2,True_Class
23.07351,-6.435381,Normal
10.634673,-1.1264331,Normal
25.128674,-1.2492027,Normal
19.860006,-9.827953,Normal
18.48287,-2.555152,Normal
26.328032,-5.787415,Normal
24.276602,-2.3063862,Normal
18.243483,5.524192,Normal
25.035446,-10.521541,Normal
27.249166,-5.268911,Normal
20.688753,-3.0020778,Normal
20.881973,-3.2301,Normal
27.907572,-9.259806,Normal
26.266214,-8.923363,Normal
22.271606,-8.132025,Normal
27.193209,-10.670841,Normal
26.798359,-8.259078,Normal
22.805676,-1.2644788,Normal
16.94246,-2.9274344,Normal
22.65288,-3.7486067,Normal
22.568306,-6.3907785,Normal
17.553534,-3.1569097,Normal
25.090998,-5.7595487,Normal
21.15286,-5.7000394,Normal
26.650831,-4.1297927,Normal
28.954916,-8.117765,Normal
8.466548,-3.0284872,Normal
19.653551,1.614755,Normal
22.775928,-11.79921,Normal
24.896128,-4.6695848,Normal
23.076292,-10.009898,Normal
24.41624,-11.184784,Normal
10.859763,-2.0274239,Normal
25.873322,-4.0133047,Normal
26.494152,-10.349526,Normal
24.4855,-12.204415,Normal
14.775961,-0.4845052,Normal
27.986862,-8.194612,Normal
4.503617,-2.485679,Normal
26.996346,-9.661563,Normal
25.952826,-7.7840734,Normal
15.930913,4.1190696,Normal
12.869032,-0.53511757,Normal
10.866926,-3.0733454,Normal
21.548563,-9.732239,Normal
11.006957,-0.14991364,Normal
17.376501,4.38642,Normal
18.606535,1.1364987,Normal
24.743935,-1.7471564,Normal
28.567297,-11.623537,Normal
23.164907,-7.589398,Normal
-8.015747,9.182646,Normal
-5.7683587,9.000769,Normal
24.86624,-7.5426235,Normal
24.208952,-9.94706,Normal
12.062911,-0.09013032,Normal
22.569557,0.6723335,Normal
19.23794,-12.485034,Normal
25.47876,-7.7162414,Normal
4.271095,1.1590784,Normal
20.03864,-10.604136,Normal
21.163412,-11.649616,Normal
21.86224,0.033519797,Normal
27.741335,-11.072697,Normal
19.171997,4.2613745,Normal
25.874186,-12.322357,Normal
28.1567,-10.311989,Normal
21.543568,-12.17308,Normal
16.672228,4.206398,Normal
25.335083,-9.529279,Normal
-8.927138,4.020603,Normal
27.651258,-12.455734,Normal
23.352669,-13.369409,Normal
17.51881,-12.659252,Normal
-15.194763,21.07557,Scar
-15.978128,20.889545,Scar
-17.266533,21.120344,Scar
-15.502472,19.8541,Scar
-15.355356,22.151222,Scar
-14.435679,21.396385,Scar
-14.088524,25.477114,Scar
-14.880109,26.06216,Scar
-13.677596,24.727974,Scar
-14.531927,22.941435,Scar
-15.047628,23.44303,Scar
-17.128801,24.326973,Scar
-15.998945,24.017712,Scar
-17.668331,24.843555,Scar
-17.800034,22.3123,Scar
-16.280361,21.823526,Scar
-15.238084,24.466274,Scar
-14.968186,25.214857,Scar
-18.289558,22.925814,Scar
-14.350323,24.578901,Scar
-17.761427,22.592157,Scar
-15.823065,23.12613,Scar
-18.284758,23.597448,Scar
-15.922697,25.237783,Scar
-17.190386,23.489014,Scar
-9.608586,7.0252924,Scar
-10.054595,7.2032795,Scar
-8.584082,7.0685616,Scar
-13.52373,6.327505,Scar
-4.4503484,8.922393,Scar
-9.950469,9.081322,Scar
-9.593762,5.6686215,Scar
-7.384248,6.634328,Scar
-9.357057,5.8642936,Scar
17.687645,-2.1243393,Scar
7.3326635,3.8190575,Scar
-9.312003,14.673997,Scar
9.091352,5.5426702,Scar
10.830434,-3.256048,Scar
-7.751259,11.250884,Scar
7.1684933,-0.22090708,Scar
7.130203,3.5541546,Scar
6.3938704,5.4334917,Scar
5.902026,4.8608704,Scar
-9.661608,15.739466,Scar
8.025802,5.4098372,Scar
6.8189707,6.1726704,Scar
7.2000403,5.3091536,Scar
18.212015,4.1918483,Scar
5.997943,6.827224,Scar
-11.170562,17.348696,Scar
-13.048331,23.60769,Scar
-12.284453,18.391504,Scar
-10.856846,19.052048,Scar
-8.988122,18.577436,Scar
-13.641534,19.793667,Scar
-14.422831,19.009619,Scar
-11.523312,18.631212,Scar
-12.747925,19.742008,Scar
-13.118214,17.519037,Scar
-13.2405405,18.212849,Scar
-12.83881,16.334454,Scar
-12.904043,19.321737,Scar
-9.695283,18.271702,Scar
-12.9169655,20.322563,Scar
-9.359196,19.211813,Scar
-8.908402,19.983892,Scar
-12.142024,17.710915,Scar
-8.288833,19.254795,Scar
-10.527922,20.34537,Scar
-10.450815,21.077766,Scar
-10.274059,17.303467,Scar
-11.422662,16.587713,Scar
-10.59157,16.444923,Scar
-10.794067,17.8683,Scar
1.7435619,-10.584762,Inflamed
2.69939,-10.378745,Inflamed
7.2454667,-3.8480608,Inflamed
18.020006,-5.2798934,Inflamed
15.015299,-7.619765,Inflamed
10.000049,-7.0952945,Inflamed
20.066523,0.113123104,Inflamed
16.513184,-5.019569,Inflamed
19.198467,-6.3472652,Inflamed
19.87081,-12.675689,Inflamed
11.296006,-11.90753,Inflamed
19.174547,-10.763175,Inflamed
15.789813,-7.026245,Inflamed
21.037724,-0.0060151983,Inflamed
17.201437,-9.60941,Inflamed
15.716497,-8.4661255,Inflamed
16.624079,-9.958758,Inflamed
25.342808,-4.9335275,Inflamed
15.922164,-6.8657713,Inflamed
9.604523,-2.4506104,Inflamed
17.75677,-8.295315,Inflamed
12.516979,-2.7091172,Inflamed
21.405163,0.7486864,Inflamed
12.263385,-10.948321,Inflamed
10.052012,-4.697718,Inflamed
21.863281,-8.703322,Inflamed
26.731976,-6.833635,Inflamed
14.520859,-6.58604,Inflamed
14.380838,-5.8446455,Inflamed
21.967709,-1.7692561,Inflamed
17.12486,-8.716761,Inflamed
21.461765,-6.355707,Inflamed
12.757704,-5.848768,Inflamed
15.327512,-10.309925,Inflamed
12.155396,-2.3696513,Inflamed
14.852842,-4.8530164,Inflamed
18.047497,-9.529324,Inflamed
13.5421715,-1.4403325,Inflamed
12.039555,-6.136562,Inflamed
17.48788,-11.745721,Inflamed
14.647724,-9.072694,Inflamed
12.694186,-1.277779,Inflamed
20.451431,1.8465351,Inflamed
14.107037,-4.1608543,Inflamed
12.781996,-5.9141855,Inflamed
21.886194,1.0136046,Inflamed
19.585758,3.8346462,Inflamed
10.297926,5.5865364,Inflamed
26.017874,-2.4508502,Inflamed
24.681202,-9.3460045,Inflamed
18.468254,-9.294646,Inflamed
21.126589,-7.2153654,Inflamed
6.4426775,-9.663947,Inflamed
10.507087,-12.64644,Inflamed
8.97252,6.9846406,Inflamed
6.2069573,-6.740117,Inflamed
23.847471,-6.260423,Inflamed
7.393606,-9.513377,Inflamed
19.600012,-5.942288,Inflamed
5.5539627,-8.980783,Inflamed
3.7069914,-6.6189513,Inflamed
6.5175266,-9.551731,Inflamed
3.680776,-9.629211,Inflamed
3.9857962,-7.429277,Inflamed
5.0305243,-10.184644,Inflamed
7.6668005,-7.94474,Inflamed
1.0678245,-6.1633525,Inflamed
15.980111,-11.748782,Inflamed
4.6087046,-9.05325,Inflamed
2.3526418,-8.714429,Inflamed
5.212025,-6.4026313,Inflamed
22.855951,-3.4438748,Inflamed
-1.4200399,3.2884846,Tumor
-1.4162511,3.2086017,Tumor
4.655221,-1.2263298,Tumor
-9.221563,9.464846,Tumor
-6.011713,7.3197026,Tumor
10.201728,0.697902,Tumor
4.157898,-2.0927522,Tumor
-6.4237857,5.191236,Tumor
24.795654,-13.496291,Tumor
1.510679,-8.333412,Tumor
2.4869235,-0.67025036,Tumor
2.2994814,-2.0324805,Tumor
3.1654322,-3.1951969,Tumor
1.2946756,-1.413095,Tumor
9.433669,-10.719831,Tumor
5.521656,-1.3818012,Tumor
1.9177091,-1.2794617,Tumor
-6.902342,4.233322,Tumor
-4.461124,5.6852612,Tumor
-7.505076,1.0351317,Tumor
3.7619045,-5.7709975,Tumor
3.829271,0.95780027,Tumor
2.6160815,4.5340824,Tumor
-2.4292011,-4.7346897,Tumor
-4.644524,3.48624,Tumor
-9.676739,3.6698344,Tumor
22.888754,-13.68449,Tumor
0.27236918,4.710526,Tumor
-16.647837,2.4343705,Tumor
-16.107515,4.274766,Tumor
-11.362354,6.558147,Tumor
-6.484805,0.76253587,Tumor
-15.170322,-1.9944746,Tumor
-14.313191,0.32209525,Tumor
-23.623901,-1.5084648,Tumor
-21.56266,1.772559,Tumor
-15.275287,-3.4928777,Tumor
-16.404093,-1.7668421,Tumor
-16.13823,0.4094734,Tumor
-15.334319,-7.6425934,Tumor
-2.339076,-4.484265,Tumor
-3.575369,-1.9586855,Tumor
-13.382693,1.8249198,Tumor
-13.922968,2.6992395,Tumor
-4.2154255,-1.2930975,Tumor
-14.046489,2.8516357,Tumor
0.38949627,-5.512668,Tumor
-12.868875,-1.7936219,Tumor
-14.074262,-2.0558863,Tumor
-16.596788,4.5131655,Tumor
-15.97326,-2.4300163,Tumor
-17.910143,2.8355577,Tumor
-11.857506,-1.0781842,Tumor
-19.057371,-0.6271818,Tumor
-16.708931,-4.0553217,Tumor
-12.767647,-2.1608613,Tumor
-17.385073,-0.51857007,Tumor
-15.723628,16.406734,Tumor
-19.364666,0.20925233,Tumor
-18.089966,-8.160563,Tumor
-10.541332,2.4268286,Tumor
-19.360426,1.2412685,Tumor
-17.394566,-4.48176,Tumor
-19.250006,-4.5784984,Tumor
-18.26604,-1.9887921,Tumor
-18.894197,-1.3157668,Tumor
-18.930561,-2.7773504,Tumor
-20.970144,-4.258132,Tumor
-19.56299,-4.0527573,Tumor
-17.857094,-2.4544122,Tumor
-20.272879,-3.1913521,Tumor
-19.951826,-4.6245394,Tumor
-19.286882,-1.9697039,Tumor
-15.961408,-7.2344623,Tumor
-20.230776,-1.8220829,Tumor
-19.289307,-3.3572443,Tumor
-18.414217,-3.6142857,Tumor
6.719827,2.3995755,Tumor
-22.181297,-0.95336914,Tumor
-22.007715,-0.12207943,Tumor
6.269995,-0.28600013,Tumor
-4.9066806,5.54302,Tumor
6.8981853,-2.012879,Tumor
-6.5224767,6.1364536,Tumor
-8.983697,8.938476,Tumor
-5.8884954,0.31364438,Tumor
-6.612846,7.286844,Tumor
-8.201236,2.2087872,Tumor
0.37578872,-4.821787,Tumor
-10.114015,2.150241,Tumor
0.5074059,-7.18723,Tumor
-7.1457057,3.2616155,Tumor
5.076065,-2.6044602,Tumor
6.9966397,-7.3520813,Tumor
2.6897898,-6.340705,Tumor
-10.501298,2.8756251,Tumor
-2.382586,-3.1856627,Tumor
-6.5530157,1.7380751,Tumor
-6.102425,-7.4541492,Tumor
-9.371006,-9.643795,Tumor
-9.070348,-9.188413,Tumor
-6.421187,-11.565575,Tumor
-6.1391563,-10.296555,Tumor
-8.2413025,-7.36315,Tumor
-8.327289,-6.20729,Tumor
-8.379381,-11.378682,Tumor
-6.555666,-11.768907,Tumor
-6.749724,-8.408204,Tumor
-8.119185,-9.735815,Tumor
-8.408185,-8.651184,Tumor
-9.692697,-9.812811,Tumor
-8.226711,-11.114966,Tumor
-7.315711,-10.719744,Tumor
-14.813231,0.31302986,Tumor
-7.299789,-6.8116226,Tumor
-5.722365,-7.588109,Tumor
-8.134114,-12.46807,Tumor
2.3184557,3.8090172,Tumor
-11.848558,14.168948,Tumor
-15.331968,16.58806,Tumor
-14.988108,5.5022006,Tumor
-8.822526,-0.6362911,Tumor
-11.833603,-4.270471,Tumor
-11.389534,-3.016136,Tumor
-12.777983,-3.1549568,Tumor
-10.984179,-7.2755265,Tumor
-8.618404,-4.138107,Tumor
-8.516086,-2.3082588,Tumor
-10.094953,-7.339618,Tumor
-9.417191,-3.5986729,Tumor
-17.111137,5.1260033,Tumor
-8.414187,-2.1123633,Tumor
-10.500931,-1.0499228,Tumor
-10.432265,-1.2446897,Tumor
-10.89139,-5.532459,Tumor
-9.214399,-1.5655938,Tumor
-11.184442,-5.5773687,Tumor
-13.142671,-5.8317184,Tumor
-22.567902,3.6729615,Tumor
-23.34905,4.6735077,Tumor
-13.307304,-5.937662,Tumor
-23.464485,5.0099044,Tumor
-19.976934,-5.700255,Tumor
-24.793522,1.1307986,Tumor
-21.36706,-1.2546912,Tumor
-22.150112,-1.4213399,Tumor
-23.351767,1.4218637,Tumor
-23.814127,-3.267125,Tumor
-22.879707,-3.5243018,Tumor
-23.024164,-0.41634527,Tumor
-21.50902,-3.3236334,Tumor
-17.289299,3.797402,Tumor
-21.379545,1.0447692,Tumor
-25.594673,-1.3109533,Tumor
-24.575754,-0.046373274,Tumor
-23.023302,-2.5196698,Tumor
-25.14113,-2.0305715,Tumor
-23.980951,-0.09205706,Tumor
-23.524666,0.46792042,Tumor
-22.36295,0.59838915,Tumor
-23.18213,-2.325617,Tumor
-21.17632,0.030902721,Tumor
-20.112171,0.73772395,Tumor
